2019-12-02 | 16:21:19 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:21:22 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:21:25 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:21:28 | Message: Alert! Fire detected. | Node ID: 1 | Fire Status: True
2019-12-02 | 16:21:30 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:21:33 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:21:36 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:21:39 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:21:42 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:21:45 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:21:49 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:21:51 | Message: Alert! Fire detected. | Node ID: 1 | Fire Status: True
2019-12-02 | 16:21:53 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:21:56 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:21:59 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:22:02 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:22:05 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:22:08 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:22:11 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:22:14 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:22:17 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:22:20 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:22:23 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:22:26 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:22:29 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:22:32 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:22:35 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:22:38 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:22:41 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:22:44 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:22:47 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:22:50 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:22:53 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:22:57 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:23:00 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:23:03 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:23:06 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:23:09 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:23:12 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
